step,time,true_x,noe_x,rmse,comm_norm,entropy,coherence,rank
0,0.005,1.0027633005091576,9.893330308203566,8.709158695489949,6.044242324517257e-08,1.098586699821138,1.0,3
1,0.01,1.0108714714731692,9.668829378748228,8.589957590075961,0.15270472557594839,1.0985230041896434,1.0,3
2,0.015,1.0240846927673002,9.449285271658027,8.469685157214355,0.3081331240794096,1.0984199595857023,1.0,3
3,0.02,1.0422038062561072,9.234559406561253,8.348077180718915,0.4569762706581133,1.0982798497134851,1.0,3
4,0.025,1.0650670546217689,9.024492536172978,8.224864575242504,0.5965241065406817,1.098104938221307,1.0,3
5,0.03,1.0925471898813168,8.81893128977923,8.099781078545927,0.7265841176418256,1.097897448734425,1.0,3
6,0.035,1.1245489156837034,8.617730831901497,7.97256249374234,0.8473737007298623,1.097659548830849,1.0,3
7,0.04,1.161006630913195,8.420754451286548,7.842944980538217,0.959235914739083,1.0973933373975946,1.0,3
8,0.045,1.2018824451968249,8.227872531968849,7.710663258012097,1.0625665214289046,1.097100834898797,1.0,3
9,0.05,1.2471644396451351,8.038961451888937,7.575448891654893,1.1577866402079706,1.0967839761576414,1.0,3
10,0.055,1.2968651485694433,7.853902577717918,7.437028701327651,1.2453293015477043,1.0964446052991972,1.0,3
11,0.06,1.3510202400349944,7.672581416249294,7.295123288725294,1.325631440411488,1.0960844725380556,1.0,3
12,0.065,1.409687374944394,7.494886941702191,7.149445669892948,1.3991285119042371,1.0957052325282761,1.0,3
13,0.07,1.4729452259134157,7.320711099149413,6.999699993703248,1.4662506122939638,1.095308444024703,1.0,3
14,0.075,1.5408926385123076,7.149948474087509,6.845580326114102,1.5274195894772278,1.0948955706342924,1.0,3
15,0.08,1.6136479185075157,6.9824961124273415,6.686769480740516,1.5830468676913962,1.0944679824635137,1.0,3
16,0.085,1.691348229555475,6.818253472057087,6.522937878039983,1.6335318188272026,1.094026958493023,1.0,3
17,0.09,1.7741490863725073,6.6571224857020255,6.353742417851749,1.6792605659848847,1.0935736895335724,1.0,3
18,0.095,1.8622239287301934,6.49900771454697,6.178825352938006,1.7206051342370519,1.093109281637534,1.0,3
19,0.1,1.9557637616974781,6.343816572643718,5.997813154435751,1.7579228815126524,1.0926347598585526,1.0,3
20,0.105,2.0549768473591556,6.191459603244468,5.810315363685912,1.7915561547047787,1.092151072267841,1.0,3
21,0.11,2.1600884327713206,6.041850789688226,5.615923428749106,1.8218321251679928,1.0916590941496152,1.0,3
22,0.115,2.2713404981500225,5.894907885173616,5.414209528068144,1.8490627650112146,1.0911596323103292,1.0,3
23,0.12,2.388991508207877,5.750552747563077,5.20472538824874,1.8735449316795945,1.0906534294468724,1.0,3
24,0.125,2.5133161481289363,5.608711667195898,4.98700110788063,1.8955605336101173,1.0901411685279254,1.0,3
25,0.13,2.6446050238750645,5.469315677475159,4.760544004814438,1.9153767544364497,1.0896234771503601,1.0,3
26,0.135,2.7831643043141265,5.332300839693396,4.52483751046971,1.933246317417651,1.0891009318391442,1.0,3
27,0.14,2.929315280015249,5.197608495143442,4.279340141722719,1.9494077755338428,1.088574062264749,1.0,3
28,0.145,3.083393810430698,5.065185479005585,4.0234845888716295,1.9640858160643462,1.0880433553567381,1.0,3
29,0.15,3.245749627538134,4.934984291803168,3.7566769672822544,1.9774915714566448,1.0875092592961486,1.0,3
30,0.155,3.4167454598126104,4.806963225373245,3.478296290773281,1.9898229309172735,1.0869721873725724,1.0,3
31,0.16,3.5967559355996963,4.6810864413114075,3.1876942368051977,2.00126484941063,1.0864325216946022,1.0,3
32,0.165,3.7861662195416566,4.5573240007281015,2.88419528729489,2.011989652640196,1.085890616744609,1.0,3
33,0.17,3.985370329651966,4.435651844907028,2.7641819262167537,2.022157338110515,1.08534680277075,1.0,3
34,0.17500000000000002,4.1947690759421805,4.316051727097275,2.7772174453667446,2.031915873531332,1.0848013890107149,1.0,3
35,0.18,4.414767554209003,4.198511096210915,2.930943120993927,2.041401494637892,1.0842546667430708,1.0,3
36,0.185,4.6457721207555895,4.083022933649957,3.1675275348858514,2.0507390049782765,1.0837069121632061,1.0,3
37,0.19,4.888186765568524,3.969585544864046,3.4058287272633287,2.0600420803843575,1.0831583890818308,1.0,3
38,0.195,5.142408792987563,3.8582023075532845,3.6454718896842557,2.0694135807297545,1.0826093514448019,1.0,3
39,0.2,5.408823710465521,3.7488813786928006,3.885983244212733,2.078945871225975,1.0820600456737384,1.0,3
40,0.20500000000000002,5.687799218010523,3.641635362775901,4.126778157353214,2.088721154967159,1.081510712827476,1.0,3
41,0.21,5.979678183865231,3.536480943861882,4.367148444036284,2.0988118177573494,1.0809615905849206,1.0,3
42,0.215,6.284770486615815,3.433438484181231,4.606248964702614,2.1092807855019466,1.0804129150503023,1.0,3
43,0.22,6.603343601156799,3.3325315922029404,4.843083678328707,2.1201818936759547,1.0798649223822103,1.0,3
44,0.225,6.935611806933936,3.233786663212946,5.076491388783185,2.1315602676529406,1.0793178502481373,1.0,3
